id,name,description,model_type,hyperparameters,filename,dataset_id,created_at
a6100421-f8ab-47c3-ae69-f27bc58ac68f,Test,Model for testing,linear_regression,"{""iterations"": 1000, ""learning_rate"": 0.1, ""random_state"": 42}",a754561a-de8a-487d-9434-93b6ac6e76fe_20250416233007_model.pkl,b6a422de-68cd-49dc-afae-63371f838951,2025-04-16T23:30:07.046371
d6892a58-6307-43ba-b64b-74317ee6facf,Test2,,linear_regression,"{""iterations"": 1000, ""learning_rate"": 0.1, ""random_state"": 42}",ca57cfbd-c1f1-4e16-9c60-84924c196af6_20250416234226_model.pkl,4228c5df-cb94-4da7-86f3-f20faf0c2765,2025-04-16T23:42:26.276375
